idx,title,answer,class_name,source
0,Android AsyncTask downloads files as directories,java.io.File.mkdirs(),java.io.File,Stack Overflow
1,"Java, extract just the fractional part of a BigDecimal?",java.math.BigDecimal.remainder(),java.math.BigDecimal,Stack Overflow
2,Keeping a Java ActionListener running once it's handled an event?,javax.swing.JList.JList(),javax.swing.JList,Stack Overflow
3,JTextArea - How to set text at a specified offset?,javax.swing.JTextArea.replaceRange(),javax.swing.JTextArea,Stack Overflow
4,How to initialize all the elements of an array to any specific value in java,java.util.Arrays.fill(),java.util.Arrays,Stack Overflow
5,Splitting a string with multiple spaces,java.lang.String.split(),java.lang.String,Stack Overflow
6,How to get depth of current node in JTree?,javax.swing.JTree.DropLocation.getPath(),javax.swing.JTree.DropLocation,Stack Overflow
7,Java - waiting to initialize an activity after all threads are completed,java.lang.Thread.join(),java.lang.Thread,Stack Overflow
8,Java: Disable all JToggleButtons after Submission — setEnabled(false);,javax.swing.AbstractButton.isSelected(),javax.swing.AbstractButton,Stack Overflow
9,How to increase the slow scroll speed on a JScrollPane?,javax.swing.JScrollPane.ScrollBar.setUnitIncrement(),javax.swing.JScrollPane.ScrollBar,Stack Overflow
10,How to create a joda time duration from java.sql.Time?,"java.time.LocalTime,java.sql.Time,java.time.LocalTime,java.time.Duration","java.time,java.sql.Time,java.time.LocalTime,java.time",Stack Overflow
11,Set the JPanel size to fill parent with little margin,javax.swing.BorderFactory.createEmptyBorder(),javax.swing.BorderFactory,Stack Overflow
12,Is it possible to create an object of an interface in java?,java.util.Collections.shuffle(),java.util.Collections,Stack Overflow
13,How to convert a Binary String to a base 10 integer in Java,java.lang.Integer.parseInt(),java.lang.Integer,Stack Overflow
14,generate short random number in java?,java.util.Random.nextInt(),java.util.Random,Stack Overflow
15,how do I get file size of temp file in android?,java.io.File.length(),java.io.File,Stack Overflow
16,Java Fastest Hash Function,java.lang.String.hashCode(),java.lang.String,Stack Overflow
17,"Convert double to Int, rounded down",java.lang.Math.floor(),java.lang.Math,Stack Overflow
18,How to implement an ExecutorService to execute batches of tasks,java.util.concurrent.ExecutorService.invokeAll(),java.util.concurrent.ExecutorService,Stack Overflow
19,How to return an object after removing it from an ArrayList?,java.util.ArrayList.remove(),java.util.ArrayList,Stack Overflow
20,How do I POST a Pojo with Jersey Client without manually convert to JSON?,jersey.api.client.WebResource.accept(),jersey.api.client.WebResource,Stack Overflow
21,Replace sequence of characters in java,java.lang.String.replace(),java.lang.String,Stack Overflow
22,"Java, Swing, getting and changing all input fields","java.util.List.get(),javax.swing.JTextField.setText()","java.util.List,javax.swing.JTextField",Stack Overflow
23,Is there a function to cast string tokenizer to array,java.lang.String.split(),java.lang.String,Stack Overflow
24,How can I get the description of ResponseCode of HttpURLConnection?,java.net.HttpURLConnection.getResponseMessage(),java.net.HttpURLConnection,Stack Overflow
25,How to start RMI Registry through java code?,java.rmi.registry.LocateRegistry.createRegistry(),java.rmi.registry.LocateRegistry,Stack Overflow
26,Including a text file inside a jar file and reading it,java.lang.Class.getResourceAsStream(),java.lang.Class,Stack Overflow
27,Access images inside jar,java.lang.Class.getResource(),java.lang.Class,Stack Overflow
28,JFreeChart loading an array into dataset,org.jfree.data.general.DefaultPieDataset.setValue(),org.jfree.data.general.DefaultPieDataset,Stack Overflow
29,Synchronize access to resources in Java (Spring MVC),java.util.Map.putIfAbsent(),java.util.Map,Stack Overflow
30,How to get the colour of a applet viewer pixel in Java?,java.awt.image.BufferedImage.getRGB(),java.awt.image.BufferedImage,Stack Overflow
31,Open another swing gui after clicking a button in another swing gui,java.awt.Dialog.setVisible(),java.awt.Dialog,Stack Overflow
32,"Java: How to read ""Files of type"" in JFileChooser",javax.swing.JFileChooser.getFileFilter(),javax.swing.JFileChooser,Stack Overflow
33,resize a byte array in android,java.lang.System.arraycopy(),java.lang.System,Stack Overflow
34,Accessing a Java Resource as a File,java.io.File.createTempFile(),java.io.File,Stack Overflow
